document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1
10,levenshtein,partial_list,table_strings,,5,14,1,1775,0.9916434540389972,0.2631578947368421,0.25,0.25641025641025644
10,levenshtein,partial_list,table_labels,,2,17,0,1776,0.9905292479108635,0.10526315789473684,0.10526315789473684,0.10526315789473684
10,levenshtein,partial_list,table_captions,,0,0,11,1784,0.9938718662952646,0,0.0,0
10,levenshtein,partial_list,table_label_captions,,8,11,0,1776,0.9938718662952646,0.42105263157894735,0.42105263157894735,0.42105263157894735
10,levenshtein,partial_list,reference_fields,,107,88,1,1599,0.9504178272980501,0.5487179487179488,0.5459183673469388,0.5473145780051151
10,levenshtein,partial_list,reference_title,,68,51,15,1661,0.9632311977715877,0.5714285714285714,0.5074626865671642,0.5375494071146245
10,levenshtein,partial_list,reference_year,,73,105,10,1607,0.935933147632312,0.4101123595505618,0.3882978723404255,0.39890710382513656
10,levenshtein,partial_list,reference_source,,69,96,18,1612,0.9364902506963788,0.41818181818181815,0.3770491803278688,0.396551724137931
10,levenshtein,partial_list,reference_volume,,67,98,14,1616,0.9376044568245125,0.40606060606060607,0.3743016759776536,0.38953488372093026
10,levenshtein,partial_list,reference_fpage,,0,0,123,1672,0.9314763231197771,0,0.0,0
10,levenshtein,partial_list,reference_lpage,,0,0,120,1675,0.9331476323119777,0,0.0,0
10,levenshtein,partial_list,,micro,,,,,0.9610956360259981,0.4566353187042842,0.3427450980392157,0.39157706093189965
10,levenshtein,partial_list,,macro,,,,,0.9610956360259982,0.3025962062774599,0.2855980747779116,0.29371945267738925
10,exact,partial_set,author_surnames,,35,15,0,174,0.9330357142857143,0.7,0.7,0.7
10,exact,partial_set,author_full_names,,35,17,0,172,0.9241071428571429,0.6730769230769231,0.6730769230769231,0.6730769230769231
10,exact,partial_set,affiliation_strings,,5,20,1,198,0.90625,0.2,0.19230769230769232,0.19607843137254902
10,exact,partial_set,affiliation_institution,,5,19,1,199,0.9107142857142857,0.20833333333333334,0.2,0.20408163265306126
10,exact,partial_set,,micro,,,,,0.9185267857142857,0.5298013245033113,0.5228758169934641,0.5263157894736843
10,exact,partial_set,,macro,,,,,0.9185267857142857,0.4453525641025641,0.44134615384615383,0.4433092467756333
10,levenshtein,partial_set,author_surnames,,37,13,0,159,0.937799043062201,0.74,0.74,0.74
10,levenshtein,partial_set,author_full_names,,40,12,0,157,0.9425837320574163,0.7692307692307693,0.7692307692307693,0.7692307692307693
10,levenshtein,partial_set,affiliation_strings,,11,14,1,183,0.9282296650717703,0.44,0.4230769230769231,0.4313725490196078
10,levenshtein,partial_set,affiliation_institution,,7,17,1,184,0.9138755980861244,0.2916666666666667,0.28,0.2857142857142857
10,levenshtein,partial_set,,micro,,,,,0.930622009569378,0.6291390728476821,0.6209150326797386,0.625
10,levenshtein,partial_set,,macro,,,,,0.930622009569378,0.560224358974359,0.5530769230769231,0.5565794009911658
10,exact,partial_table,tables,,0,0,12,0,0.0,0,0.0,0
10,exact,partial_table,,micro,,,,,0.0,0,0.0,0
10,exact,partial_table,,macro,,,,,0.0,0.0,0.0,0.0
10,levenshtein,partial_table,tables,,0,0,12,0,0.0,0,0.0,0
10,levenshtein,partial_table,,micro,,,,,0.0,0,0.0,0
10,levenshtein,partial_table,,macro,,,,,0.0,0.0,0.0,0.0
10,exact,set,keywords,,4,0,2,0,0.6666666666666666,1.0,0.6666666666666666,0.8
10,exact,set,,micro,,,,,0.6666666666666666,1.0,0.6666666666666666,0.8
10,exact,set,,macro,,,,,0.6666666666666666,1.0,0.6666666666666666,0.8
10,levenshtein,set,keywords,,4,0,2,0,0.6666666666666666,1.0,0.6666666666666666,0.8
10,levenshtein,set,,micro,,,,,0.6666666666666666,1.0,0.6666666666666666,0.8
10,levenshtein,set,,macro,,,,,0.6666666666666666,1.0,0.6666666666666666,0.8
10,exact,string,title,,6,4,0,53,0.9365079365079365,0.6,0.6,0.6
10,exact,string,abstract,,2,6,1,54,0.8888888888888888,0.25,0.2222222222222222,0.23529411764705882
10,exact,string,first_author_surname,,7,3,0,53,0.9523809523809523,0.7,0.7,0.7
10,exact,string,first_author_full_name,,7,3,0,53,0.9523809523809523,0.7,0.7,0.7
10,exact,string,first_reference_title,,5,1,1,56,0.9682539682539683,0.8333333333333334,0.7142857142857143,0.7692307692307692
10,exact,string,,micro,,,,,0.9396825396825397,0.6136363636363636,0.5869565217391305,0.6
10,exact,string,,macro,,,,,0.9396825396825397,0.6166666666666667,0.5873015873015873,0.6009049773755656
10,levenshtein,string,title,,7,3,0,51,0.9508196721311475,0.7,0.7,0.7
10,levenshtein,string,abstract,,3,5,1,52,0.9016393442622951,0.375,0.3333333333333333,0.35294117647058826
10,levenshtein,string,first_author_surname,,7,3,0,51,0.9508196721311475,0.7,0.7,0.7
10,levenshtein,string,first_author_full_name,,7,3,0,51,0.9508196721311475,0.7,0.7,0.7
10,levenshtein,string,first_reference_title,,5,1,1,54,0.9672131147540983,0.8333333333333334,0.7142857142857143,0.7692307692307692
10,levenshtein,string,,micro,,,,,0.9442622950819672,0.6590909090909091,0.6304347826086957,0.6444444444444444
10,levenshtein,string,,macro,,,,,0.9442622950819672,0.6616666666666666,0.6295238095238095,0.6444343891402715
