prediction_file,target_file,field_name,evaluation_method,scoring_type,tp,fp,fn,tn,expected,actual,expected_context,actual_context
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,exact,partial_set,0,0,1,0,BROMAN,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,exact,partial_set,0,0,1,0,CARLSSON,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,exact,partial_set,0,0,1,0,FRIBERG,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,exact,partial_set,0,0,1,0,GODALY,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,exact,partial_set,0,0,1,0,WIESLANDER,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,levenshtein,partial_set,0,0,1,0,BROMAN,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,levenshtein,partial_set,0,0,1,0,CARLSSON,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,levenshtein,partial_set,0,0,1,0,FRIBERG,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,levenshtein,partial_set,0,0,1,0,GODALY,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_surnames,levenshtein,partial_set,0,0,1,0,WIESLANDER,,None,None
aas0055-0039.xml,aas0055-0039.nxml,first_author_given_name,exact,string,0,0,1,0,M,,None,None
aas0055-0039.xml,aas0055-0039.nxml,first_author_given_name,levenshtein,string,0,0,1,0,M,,None,None
aas0055-0039.xml,aas0055-0039.nxml,corresp_author_given_names,exact,string,0,0,0,1,,,None,None
aas0055-0039.xml,aas0055-0039.nxml,corresp_author_given_names,levenshtein,string,0,0,0,1,,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_given_names,exact,partial_set,0,0,1,0,A,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_given_names,exact,partial_set,0,0,1,0,G,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_given_names,exact,partial_set,0,0,1,0,H,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_given_names,exact,partial_set,0,0,1,0,M,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_given_names,exact,partial_set,0,0,1,0,O,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_given_names,levenshtein,partial_set,0,0,1,0,A,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_given_names,levenshtein,partial_set,0,0,1,0,G,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_given_names,levenshtein,partial_set,0,0,1,0,H,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_given_names,levenshtein,partial_set,0,0,1,0,M,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_given_names,levenshtein,partial_set,0,0,1,0,O,,None,None
aas0055-0039.xml,aas0055-0039.nxml,first_author_full_name,exact,string,0,1,0,0,M BROMAN,M. BROMAN,None,None
aas0055-0039.xml,aas0055-0039.nxml,first_author_full_name,levenshtein,string,1,0,0,0,M BROMAN,M. BROMAN,None,None
aas0055-0039.xml,aas0055-0039.nxml,corresp_author_full_names,exact,string,0,0,0,1,,,None,None
aas0055-0039.xml,aas0055-0039.nxml,corresp_author_full_names,levenshtein,string,0,0,0,1,,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_full_names,exact,partial_set,0,1,0,0,A WIESLANDER,A. WIESLANDER,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_full_names,exact,partial_set,0,1,0,0,G GODALY,G. GODALY,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_full_names,exact,partial_set,0,1,0,0,H FRIBERG,H. FRIBERG,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_full_names,exact,partial_set,0,1,0,0,M BROMAN,M. BROMAN,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_full_names,exact,partial_set,0,1,0,0,O CARLSSON,O. CARLSSON,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_full_names,levenshtein,partial_set,1,0,0,0,A WIESLANDER,A. WIESLANDER,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_full_names,levenshtein,partial_set,1,0,0,0,G GODALY,G. GODALY,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_full_names,levenshtein,partial_set,1,0,0,0,H FRIBERG,H. FRIBERG,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_full_names,levenshtein,partial_set,1,0,0,0,M BROMAN,M. BROMAN,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_full_names,levenshtein,partial_set,1,0,0,0,O CARLSSON,O. CARLSSON,None,None
aas0055-0039.xml,aas0055-0039.nxml,corresp_author_emails,exact,string,0,0,0,1,,,None,None
aas0055-0039.xml,aas0055-0039.nxml,corresp_author_emails,levenshtein,string,0,0,0,1,,,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_emails,exact,partial_set,0,1,0,0,,marcus.broman@skane.se,None,None
aas0055-0039.xml,aas0055-0039.nxml,author_emails,levenshtein,partial_set,0,1,0,0,,marcus.broman@skane.se,None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_text,exact,partial_list,0,1,0,0,"1 Department of Anaesthesiology and Intensive Care, Lund University Hospital Lund, Sweden","0 Department of Anaesthesiology and Intensive Care, Lund University Hospital, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_text,exact,partial_list,0,1,0,0,"2 Gambro Lundia AB Lund, Sweden","1 Gambro Lundia AB, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_text,levenshtein,partial_list,1,0,0,0,"1 Department of Anaesthesiology and Intensive Care, Lund University Hospital Lund, Sweden","0 Department of Anaesthesiology and Intensive Care, Lund University Hospital, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_text,levenshtein,partial_list,1,0,0,0,"2 Gambro Lundia AB Lund, Sweden","1 Gambro Lundia AB, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_text,exact,partial_set,0,1,0,0,"1 Department of Anaesthesiology and Intensive Care, Lund University Hospital Lund, Sweden","0 Department of Anaesthesiology and Intensive Care, Lund University Hospital, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_text,exact,partial_set,0,1,0,0,"2 Gambro Lundia AB Lund, Sweden","1 Gambro Lundia AB, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_text,levenshtein,partial_set,1,0,0,0,"1 Department of Anaesthesiology and Intensive Care, Lund University Hospital Lund, Sweden","0 Department of Anaesthesiology and Intensive Care, Lund University Hospital, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_text,levenshtein,partial_set,1,0,0,0,"2 Gambro Lundia AB Lund, Sweden","1 Gambro Lundia AB, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_strings,exact,partial_set,0,1,0,0,"Department of Anaesthesiology and Intensive Care, Lund University Hospital, Lund, Sweden","0 Department of Anaesthesiology and Intensive Care, Lund University Hospital, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_strings,exact,partial_set,0,1,0,0,"Gambro Lundia AB, Lund, Sweden","1 Gambro Lundia AB, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_strings,levenshtein,partial_set,1,0,0,0,"Department of Anaesthesiology and Intensive Care, Lund University Hospital, Lund, Sweden","0 Department of Anaesthesiology and Intensive Care, Lund University Hospital, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_strings,levenshtein,partial_set,1,0,0,0,"Gambro Lundia AB, Lund, Sweden","1 Gambro Lundia AB, Lund, Sweden",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_label,exact,partial_set,1,0,0,0,1,1,None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_label,exact,partial_set,0,1,0,0,2,0,None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_label,levenshtein,partial_set,1,0,0,0,1,1,None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_label,levenshtein,partial_set,0,1,0,0,2,0,None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_institution,exact,partial_set,1,0,0,0,"Department of Anaesthesiology and Intensive Care, Lund University Hospital","Department of Anaesthesiology and Intensive Care, Lund University Hospital",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_institution,exact,partial_set,1,0,0,0,Gambro Lundia AB,Gambro Lundia AB,None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_institution,levenshtein,partial_set,1,0,0,0,"Department of Anaesthesiology and Intensive Care, Lund University Hospital","Department of Anaesthesiology and Intensive Care, Lund University Hospital",None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_institution,levenshtein,partial_set,1,0,0,0,Gambro Lundia AB,Gambro Lundia AB,None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_country,exact,partial_set,0,1,0,0,,Sweden,None,None
aas0055-0039.xml,aas0055-0039.nxml,affiliation_country,levenshtein,partial_set,0,1,0,0,,Sweden,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_list,0,1,0,0,Methods,-,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_list,0,1,0,0,Fluid composition and study design,Methods,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_list,0,1,0,0,Patients and CRRT treatments,Fluid composition and study design,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_list,0,1,0,0,Clinical parameters of the patients,Patients and CRRT treatments,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_list,0,1,0,0,Statistics,Clinical parameters of the patients,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_list,0,1,0,0,Results,Statistics,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_list,0,1,0,0,Discussion,Results,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_list,0,1,0,0,,Discussion,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_list,0,1,0,0,,Acknowledgements,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_list,0,1,0,0,Methods,-,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_list,0,1,0,0,Fluid composition and study design,Methods,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_list,0,1,0,0,Patients and CRRT treatments,Fluid composition and study design,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_list,0,1,0,0,Clinical parameters of the patients,Patients and CRRT treatments,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_list,0,1,0,0,Statistics,Clinical parameters of the patients,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_list,0,1,0,0,Results,Statistics,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_list,0,1,0,0,Discussion,Results,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_list,0,1,0,0,,Discussion,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_list,0,1,0,0,,Acknowledgements,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_set,1,0,0,0,Clinical parameters of the patients,Clinical parameters of the patients,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_set,1,0,0,0,Discussion,Discussion,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_set,1,0,0,0,Fluid composition and study design,Fluid composition and study design,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_set,1,0,0,0,Methods,Methods,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_set,1,0,0,0,Patients and CRRT treatments,Patients and CRRT treatments,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_set,1,0,0,0,Results,Results,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_set,1,0,0,0,Statistics,Statistics,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_set,0,1,0,0,,-,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_set,0,1,0,0,,Acknowledgements,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_set,1,0,0,0,Clinical parameters of the patients,Clinical parameters of the patients,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_set,1,0,0,0,Discussion,Discussion,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_set,1,0,0,0,Fluid composition and study design,Fluid composition and study design,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_set,1,0,0,0,Methods,Methods,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_set,1,0,0,0,Patients and CRRT treatments,Patients and CRRT treatments,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_set,1,0,0,0,Results,Results,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_set,1,0,0,0,Statistics,Statistics,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_set,0,1,0,0,,-,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_set,0,1,0,0,,Acknowledgements,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_ulist,1,0,0,0,Methods,Methods,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_ulist,1,0,0,0,Fluid composition and study design,Fluid composition and study design,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_ulist,1,0,0,0,Patients and CRRT treatments,Patients and CRRT treatments,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_ulist,1,0,0,0,Clinical parameters of the patients,Clinical parameters of the patients,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_ulist,1,0,0,0,Statistics,Statistics,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_ulist,1,0,0,0,Results,Results,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_ulist,1,0,0,0,Discussion,Discussion,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_ulist,0,1,0,0,,-,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,exact,partial_ulist,0,1,0,0,,Acknowledgements,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_ulist,1,0,0,0,Methods,Methods,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_ulist,1,0,0,0,Fluid composition and study design,Fluid composition and study design,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_ulist,1,0,0,0,Patients and CRRT treatments,Patients and CRRT treatments,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_ulist,1,0,0,0,Clinical parameters of the patients,Clinical parameters of the patients,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_ulist,1,0,0,0,Statistics,Statistics,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_ulist,1,0,0,0,Results,Results,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_ulist,1,0,0,0,Discussion,Discussion,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_ulist,0,1,0,0,,-,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_titles,levenshtein,partial_ulist,0,1,0,0,,Acknowledgements,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,exact,partial_ulist,1,0,0,0,Methods,Methods,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,exact,partial_ulist,1,0,0,0,Fluid composition and study design,Fluid composition and study design,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,exact,partial_ulist,1,0,0,0,Patients and CRRT treatments,Patients and CRRT treatments,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,exact,partial_ulist,1,0,0,0,Clinical parameters of the patients,Clinical parameters of the patients,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,exact,partial_ulist,1,0,0,0,Statistics,Statistics,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,exact,partial_ulist,1,0,0,0,Results,Results,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,exact,partial_ulist,1,0,0,0,Discussion,Discussion,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,exact,partial_ulist,0,1,0,0,,-,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,exact,partial_ulist,0,1,0,0,,Acknowledgements,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,levenshtein,partial_ulist,1,0,0,0,Methods,Methods,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,levenshtein,partial_ulist,1,0,0,0,Fluid composition and study design,Fluid composition and study design,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,levenshtein,partial_ulist,1,0,0,0,Patients and CRRT treatments,Patients and CRRT treatments,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,levenshtein,partial_ulist,1,0,0,0,Clinical parameters of the patients,Clinical parameters of the patients,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,levenshtein,partial_ulist,1,0,0,0,Statistics,Statistics,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,levenshtein,partial_ulist,1,0,0,0,Results,Results,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,levenshtein,partial_ulist,1,0,0,0,Discussion,Discussion,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,levenshtein,partial_ulist,0,1,0,0,,-,None,None
aas0055-0039.xml,aas0055-0039.nxml,body_section_label_titles,levenshtein,partial_ulist,0,1,0,0,,Acknowledgements,None,None
aas0055-0039.xml,aas0055-0039.nxml,first_body_section_paragraphs,exact,list,0,1,0,0,,"Treplacement therapy (CRRT) will require phos HE majority of patients on continuous renal phate supplementation shortly after CRRT initiation.1 One reason is that critically ill patients present several conditions predisposing hypophosphatemia such as sepsis, alcohol withdrawal, malnutrition, catecholamines, intravenous glucose infusion, hyperventilation, diuretics and rhabdomyolysis.2?4 Another reason is the CRRT technique that achieves high clearance of small solutes, such as phosphate.5?9 In addition, low serum phosphate levels may also occur in the setting of extracellular to intracellular shifts that occur with respiratory alkalosis, high blood concentrations of stress horResults: Standard medical treatment resulted in hypophosphatemia in 11 of 14 of the patients (group 1) compared with five of 14 in the patients receiving phosphate solution as the dialysate solution and Hemosol B0 as the replacement solution (group 2). Patients treated with the phosphate-containing dialysis solution (group 3) experienced stable serum phosphate levels throughout the study. Potassium, ionized calcium, magnesium, pH, pCO2 and bicarbonate remained unchanged throughout the study. Conclusion: The new phosphate-containing replacement and dialysis solution reduces the variability of serum phosphate levels during CRRT and eliminates the incidence of hypophosphatemia. mones (i.e., insulin, glucagon, adrenalin, cortisol) and with refeeding syndrome. As phosphate is a constituent of enzymes and intermediate phosphorylated compounds, it plays a key role in cellular metabolism and is essential in several biological processes. Serum phosphate concentration is maintained between 0.81 and 1.45 mmol/l. By convention, hypophosphatemia is often graded as mild (o0.81 mmol/l), moderate (o0.61 mmol/l) and severe (o0.32 mmol/l). Severe hypophosphatemia has been linked to increased mortality in surgical intensive care patients7 and was recently shown to serve as an independent mortality predictor in sepsis.10 Symptoms of hypophosphatemia are usually only seen in patients with moderate or severe hypophosphatemia and include ventilatory muscle weakness, cardiac failure, insulin resistance, hemolysis, impaired platelet and white blood cell function, rhabdomyolysis, and, in rare cases, neurologic disorders.3,11?17 However, all these alternations have been shown to reverse by simply correcting the phosphate levels.3,7,12,13,18?20 Phosphate is supplemented intravenously in symptomatic patients, but phosphate has also been added directly to the dialysate and replacement fluids,1,21,22 with a risk of precipitation with calcium. The development of many electrolyte disturbances in the intensive care unit (ICU) could be prevented by the use of better adapted dialysis fluids. This study evaluated the possibility to achieve and maintain a normal phosphate balance over time in patients on CRRT by using a new phosphatecontaining dialysis fluid and replacement fluid.",None,None
